,WARMTH,INTELLECT,EMOTIONAL STABILITY,ASSERTIVENESS,GREGARIOUSNESS,DUTIFULNESS,FRIENDLINESS,SENSITIVITY,DISTRUST,IMAGINATION,RESERVE,ANXIETY,COMPLEXITY,INTROVERSION,ORDERLINESS,EMOTIONALITY
WARMTH,3.2,3.533333333333333,3.6666666666666665,2.933333333333333,2.6666666666666665,3.466666666666667,3.066666666666667,3.066666666666667,2.6666666666666665,3.533333333333333,3.3333333333333335,3.2666666666666666,3.3333333333333335,3.4,3.466666666666667,2.3333333333333335
INTELLECT,3.2666666666666666,3.6666666666666665,3.6,3.3333333333333335,2.8,3.6666666666666665,3.3333333333333335,3.466666666666667,2.8666666666666667,4.133333333333334,3.4,3.4,3.533333333333333,3.466666666666667,3.2,3.0
EMOTIONAL STABILITY,3.533333333333333,3.8666666666666667,3.533333333333333,3.6,2.933333333333333,3.6,3.8,3.2666666666666666,3.3333333333333335,3.533333333333333,3.3333333333333335,3.2666666666666666,3.533333333333333,3.7333333333333334,3.7333333333333334,2.8
ASSERTIVENESS,3.533333333333333,3.533333333333333,3.6666666666666665,3.2666666666666666,3.066666666666667,3.8666666666666667,3.2666666666666666,3.2666666666666666,3.0,3.2,3.0,3.2666666666666666,3.6,3.4,3.2,2.7333333333333334
GREGARIOUSNESS,3.533333333333333,3.8666666666666667,3.7333333333333334,3.7333333333333334,3.0,3.8,3.533333333333333,2.8,2.8,3.466666666666667,3.2666666666666666,3.8,3.4,3.0,3.6,2.6
DUTIFULNESS,3.533333333333333,3.8666666666666667,3.533333333333333,3.4,2.6,3.533333333333333,3.2,2.8666666666666667,3.066666666666667,3.6666666666666665,3.2666666666666666,3.466666666666667,3.2666666666666666,3.6666666666666665,3.6,3.0
FRIENDLINESS,3.7333333333333334,3.3333333333333335,3.466666666666667,3.2666666666666666,3.0,3.7333333333333334,3.1333333333333333,3.2,3.066666666666667,3.2,2.933333333333333,3.1333333333333333,3.066666666666667,3.2666666666666666,3.533333333333333,2.6666666666666665
SENSITIVITY,3.6,4.066666666666666,3.533333333333333,3.2,2.8,3.933333333333333,3.4,2.933333333333333,3.3333333333333335,3.933333333333333,3.4,3.6,3.6,3.8,3.6666666666666665,3.1333333333333333
DISTRUST,3.466666666666667,4.066666666666666,3.6666666666666665,3.8,2.8,4.266666666666667,2.7333333333333334,3.533333333333333,3.1333333333333333,3.3333333333333335,3.6666666666666665,3.6,3.7333333333333334,3.466666666666667,3.8666666666666667,3.066666666666667
IMAGINATION,3.466666666666667,3.6,3.8,3.2,2.6,3.466666666666667,3.2666666666666666,3.2,3.1333333333333333,3.7333333333333334,3.4,3.3333333333333335,3.6666666666666665,3.3333333333333335,3.3333333333333335,3.1333333333333333
RESERVE,2.8,3.6666666666666665,3.7333333333333334,3.4,1.7333333333333334,4.133333333333334,2.6,3.1333333333333333,3.1333333333333333,3.7333333333333334,3.466666666666667,3.466666666666667,3.466666666666667,3.8,4.0,3.2
ANXIETY,3.8,4.133333333333334,3.4,3.933333333333333,3.2666666666666666,4.2,3.466666666666667,3.2666666666666666,3.4,3.8,3.6666666666666665,3.066666666666667,3.6666666666666665,3.8,3.6666666666666665,3.1333333333333333
COMPLEXITY,3.6,3.933333333333333,3.933333333333333,3.8666666666666667,3.4,3.8666666666666667,3.466666666666667,3.3333333333333335,3.2666666666666666,3.8,3.7333333333333334,3.533333333333333,3.066666666666667,3.8,3.466666666666667,3.066666666666667
INTROVERSION,3.066666666666667,3.7333333333333334,3.4,3.4,2.066666666666667,4.066666666666666,2.8666666666666667,3.2666666666666666,3.0,3.8666666666666667,3.3333333333333335,3.3333333333333335,3.7333333333333334,3.6,3.8,3.0
ORDERLINESS,3.4,3.6666666666666665,3.466666666666667,3.533333333333333,2.933333333333333,3.8666666666666667,3.2666666666666666,3.2,3.2,3.3333333333333335,3.2,3.2666666666666666,3.533333333333333,3.6,3.1333333333333333,2.8666666666666667
EMOTIONALITY,3.6666666666666665,3.933333333333333,3.2666666666666666,3.533333333333333,3.2,3.933333333333333,3.4,3.2666666666666666,3.466666666666667,3.7333333333333334,2.6,3.466666666666667,3.8666666666666667,3.3333333333333335,3.6666666666666665,3.0
