,WARMTH,INTELLECT,EMOTIONAL STABILITY,ASSERTIVENESS,GREGARIOUSNESS,DUTIFULNESS,FRIENDLINESS,SENSITIVITY,DISTRUST,IMAGINATION,RESERVE,ANXIETY,COMPLEXITY,INTROVERSION,ORDERLINESS,EMOTIONALITY
WARMTH,1.8,3.2666666666666666,3.066666666666667,3.4,2.6666666666666665,3.2,2.7333333333333334,3.0,3.7333333333333334,3.2666666666666666,3.933333333333333,3.0,3.1333333333333333,3.533333333333333,3.4,3.2666666666666666
INTELLECT,3.533333333333333,1.6,2.933333333333333,3.1333333333333333,3.066666666666667,3.466666666666667,3.066666666666667,3.1333333333333333,3.1333333333333333,3.4,3.2666666666666666,3.0,3.066666666666667,3.2,3.4,2.933333333333333
EMOTIONAL STABILITY,2.8,3.0,2.3333333333333335,2.6666666666666665,3.1333333333333333,3.0,2.933333333333333,2.6666666666666665,3.533333333333333,3.0,3.466666666666667,3.7333333333333334,3.1333333333333333,3.2,3.4,3.3333333333333335
ASSERTIVENESS,3.4,3.2666666666666666,2.933333333333333,1.8,2.933333333333333,3.466666666666667,2.933333333333333,3.0833333333333335,3.0,3.3333333333333335,3.7333333333333334,3.4,3.2,3.6666666666666665,3.533333333333333,3.1333333333333333
GREGARIOUSNESS,2.8666666666666667,3.533333333333333,3.066666666666667,2.933333333333333,1.8,3.466666666666667,2.8,2.8666666666666667,3.2,3.466666666666667,3.533333333333333,2.933333333333333,3.533333333333333,4.133333333333334,3.466666666666667,2.7333333333333334
DUTIFULNESS,3.0,3.2,3.066666666666667,3.1333333333333333,3.066666666666667,1.7333333333333334,3.0,2.8,2.933333333333333,3.533333333333333,2.8666666666666667,2.933333333333333,3.0,3.2,2.6,3.0833333333333335
FRIENDLINESS,2.3333333333333335,3.466666666666667,3.1333333333333333,3.533333333333333,2.6,3.3333333333333335,2.066666666666667,2.933333333333333,3.6,3.2,4.066666666666666,3.066666666666667,3.4,3.7333333333333334,3.6,3.533333333333333
SENSITIVITY,3.066666666666667,3.3333333333333335,3.066666666666667,3.4,3.2,3.4,3.0,1.25,3.066666666666667,3.3333333333333335,3.466666666666667,2.6666666666666665,3.2,3.2,3.533333333333333,2.533333333333333
DISTRUST,3.466666666666667,3.4,3.066666666666667,3.4,3.1333333333333333,3.6,3.3333333333333335,3.0,1.8,3.1333333333333333,2.933333333333333,2.933333333333333,3.066666666666667,3.066666666666667,3.466666666666667,2.6
IMAGINATION,3.0,3.4,3.1333333333333333,3.0,2.8,3.466666666666667,3.1333333333333333,2.8,2.933333333333333,1.2666666666666666,3.0833333333333335,2.8,2.8,3.1333333333333333,3.8666666666666667,2.8666666666666667
RESERVE,3.466666666666667,3.533333333333333,3.2666666666666666,3.4,3.7333333333333334,3.2666666666666666,3.1333333333333333,3.2,2.933333333333333,3.6666666666666665,1.4666666666666666,2.8666666666666667,3.3333333333333335,2.7333333333333334,3.3333333333333335,3.0
ANXIETY,3.4,3.4,3.533333333333333,3.2666666666666666,3.1333333333333333,3.2,2.8666666666666667,2.8,3.066666666666667,3.1333333333333333,3.1333333333333333,1.5333333333333334,3.2,3.1333333333333333,3.466666666666667,2.8
COMPLEXITY,3.0,2.533333333333333,2.8666666666666667,3.066666666666667,3.2,3.2666666666666666,2.8666666666666667,2.466666666666667,2.8,3.066666666666667,2.8,2.7333333333333334,1.7333333333333334,3.2,3.2,2.6
INTROVERSION,3.533333333333333,3.3333333333333335,3.1333333333333333,3.4,3.466666666666667,3.3333333333333335,3.0,2.8666666666666667,3.066666666666667,3.2666666666666666,2.8,2.933333333333333,3.2666666666666666,1.0,3.3333333333333335,3.066666666666667
ORDERLINESS,3.466666666666667,3.3333333333333335,3.066666666666667,3.066666666666667,3.4,3.2666666666666666,3.2,2.933333333333333,3.066666666666667,3.6,3.066666666666667,3.1333333333333333,3.7333333333333334,3.2666666666666666,1.8,2.8
EMOTIONALITY,3.066666666666667,3.6666666666666665,3.466666666666667,3.4,2.8666666666666667,3.1333333333333333,2.933333333333333,2.933333333333333,3.0,3.1333333333333333,3.8666666666666667,2.7333333333333334,3.466666666666667,3.2,3.466666666666667,1.7333333333333334
