,WARMTH,INTELLECT,EMOTIONAL STABILITY,ASSERTIVENESS,GREGARIOUSNESS,DUTIFULNESS,FRIENDLINESS,SENSITIVITY,DISTRUST,IMAGINATION,RESERVE,ANXIETY,COMPLEXITY,INTROVERSION,ORDERLINESS,EMOTIONALITY
WARMTH,3.2,3.466666666666667,3.066666666666667,3.2,2.933333333333333,3.4,3.2,2.933333333333333,2.933333333333333,3.2666666666666666,3.0,2.8666666666666667,3.3333333333333335,3.1333333333333333,3.3333333333333335,2.8
INTELLECT,3.4,3.2,3.2,3.2666666666666666,2.933333333333333,3.466666666666667,3.2,3.066666666666667,2.8666666666666667,3.533333333333333,3.0,2.7333333333333334,3.1333333333333333,3.3333333333333335,3.4,2.8666666666666667
EMOTIONAL STABILITY,3.4,3.6,3.0,3.466666666666667,2.8666666666666667,3.4,3.2,3.0,2.6666666666666665,3.4,3.0,2.7333333333333334,3.3333333333333335,3.3333333333333335,3.6,2.6666666666666665
ASSERTIVENESS,3.6,3.6666666666666665,3.2,3.0,3.066666666666667,3.533333333333333,3.4,3.5,3.1333333333333333,3.3333333333333335,3.1333333333333333,3.0,3.466666666666667,3.3333333333333335,3.6666666666666665,2.933333333333333
GREGARIOUSNESS,3.4,3.7333333333333334,3.2,3.2666666666666666,3.066666666666667,3.6,3.1333333333333333,3.066666666666667,2.8666666666666667,3.4,3.1333333333333333,3.0,3.466666666666667,3.466666666666667,3.466666666666667,3.066666666666667
DUTIFULNESS,3.6666666666666665,3.466666666666667,3.2666666666666666,3.4,2.8666666666666667,3.1333333333333333,3.2,3.066666666666667,2.933333333333333,3.3333333333333335,3.066666666666667,3.0,3.4,3.2,3.2666666666666666,2.933333333333333
FRIENDLINESS,3.3333333333333335,3.6666666666666665,3.066666666666667,3.4,2.933333333333333,3.4,3.0,3.0,3.066666666666667,3.3333333333333335,3.2666666666666666,2.933333333333333,3.6666666666666665,3.2666666666666666,3.6666666666666665,3.066666666666667
SENSITIVITY,3.6,3.6,3.066666666666667,3.4,3.066666666666667,3.4,3.1333333333333333,3.066666666666667,3.1333333333333333,3.466666666666667,3.066666666666667,3.0,3.4,3.3333333333333335,3.466666666666667,2.6
DISTRUST,3.0,3.533333333333333,2.933333333333333,3.466666666666667,2.7333333333333334,3.4,3.2666666666666666,3.0,3.0,3.4,3.2,3.0,3.2666666666666666,3.2666666666666666,3.3333333333333335,3.1333333333333333
IMAGINATION,3.466666666666667,3.533333333333333,3.066666666666667,3.1333333333333333,2.8666666666666667,3.533333333333333,3.1333333333333333,3.066666666666667,2.933333333333333,3.3333333333333335,3.066666666666667,3.0,3.066666666666667,3.4,3.6,2.8666666666666667
RESERVE,3.2,3.4,3.3333333333333335,3.1333333333333333,2.6666666666666665,3.6,3.0,3.066666666666667,3.0,3.3333333333333335,3.066666666666667,3.0,3.2,3.0,3.6,2.7333333333333334
ANXIETY,3.2666666666666666,3.6,3.1333333333333333,3.1333333333333333,2.933333333333333,3.3333333333333335,2.8666666666666667,3.0,3.2666666666666666,3.4,3.533333333333333,3.0,3.3333333333333335,3.466666666666667,3.533333333333333,3.066666666666667
COMPLEXITY,3.4,3.3333333333333335,3.1333333333333333,3.3333333333333335,2.8666666666666667,3.466666666666667,2.933333333333333,3.066666666666667,2.933333333333333,3.3333333333333335,3.066666666666667,3.0,3.4,3.3333333333333335,3.3333333333333335,2.8
INTROVERSION,3.1333333333333333,3.6,3.1333333333333333,3.0,2.8,3.466666666666667,3.2,3.1333333333333333,3.0,3.2666666666666666,3.466666666666667,3.0,3.3333333333333335,3.1333333333333333,3.533333333333333,2.933333333333333
ORDERLINESS,3.466666666666667,3.533333333333333,3.2,3.3333333333333335,2.933333333333333,3.6666666666666665,3.2666666666666666,3.066666666666667,3.0,3.3333333333333335,3.2,2.8,3.4,3.466666666666667,3.066666666666667,3.0
EMOTIONALITY,3.6,3.9166666666666665,3.0,3.533333333333333,3.1333333333333333,3.4,3.1333333333333333,3.2,3.0,3.6,3.1333333333333333,3.066666666666667,3.6666666666666665,3.6,3.6,3.0
