,WARMTH,INTELLECT,EMOTIONAL STABILITY,ASSERTIVENESS,GREGARIOUSNESS,DUTIFULNESS,FRIENDLINESS,SENSITIVITY,DISTRUST,IMAGINATION,RESERVE,ANXIETY,COMPLEXITY,INTROVERSION,ORDERLINESS,EMOTIONALITY
WARMTH,-0.90,-1.07,-0.77,-1.13,-0.43,-0.90,-0.53,-0.50,-1.53,-0.83,-1.07,-1.07,-1.27,-0.57,-1.30,-0.80
INTELLECT,-0.90,-1.20,-0.70,-1.00,-0.63,-1.17,-0.73,-0.63,-1.60,-0.83,-1.00,-1.07,-1.00,-0.43,-1.10,-1.07
EMOTIONAL STABILITY,-0.97,-1.07,-0.63,-1.07,-0.43,-1.03,-0.53,-0.50,-1.07,-0.90,-0.67,-1.07,-1.07,-0.37,-1.10,-0.87
ASSERTIVENESS,-0.70,-1.13,-0.77,-1.00,-0.37,-1.03,-0.67,-0.43,-1.13,-0.83,-0.87,-1.00,-1.13,-0.43,-1.17,-0.53
GREGARIOUSNESS,-0.70,-1.13,-0.63,-1.07,-0.30,-1.03,-0.67,-0.70,-1.47,-0.90,-1.40,-0.93,-1.20,-1.03,-0.97,-0.60
DUTIFULNESS,-0.77,-1.07,-0.77,-1.13,-0.63,-1.10,-0.53,-0.50,-1.33,-0.90,-0.73,-0.80,-1.27,-0.43,-0.97,-0.87
FRIENDLINESS,-0.77,-0.93,-0.63,-1.07,-0.43,-1.03,-0.60,-0.57,-1.73,-0.83,-1.07,-0.87,-1.13,-0.77,-1.17,-0.87
SENSITIVITY,-0.63,-1.07,-0.77,-1.00,-0.50,-1.03,-0.60,-0.50,-1.47,-0.77,-0.73,-0.93,-1.07,-0.50,-1.10,-0.60
DISTRUST,-1.17,-0.87,-0.57,-1.07,-0.77,-0.90,-0.87,-0.50,-1.00,-0.83,-0.53,-0.93,-1.07,-0.17,-0.70,-0.47
IMAGINATION,-0.83,-0.93,-0.50,-1.20,-0.63,-0.97,-0.73,-0.50,-1.40,-0.90,-0.80,-1.00,-1.20,-0.43,-1.10,-0.73
RESERVE,-1.10,-0.80,-0.50,-1.40,-1.30,-0.97,-1.47,-0.70,-1.13,-0.63,-0.60,-0.67,-0.93,-0.43,-0.90,-0.73
ANXIETY,-0.63,-0.87,-1.03,-1.27,-0.83,-0.83,-0.47,-0.57,-1.00,-0.63,-0.53,-0.80,-1.07,-0.37,-0.90,-0.53
COMPLEXITY,-1.10,-0.93,-0.70,-1.07,-0.70,-0.97,-0.67,-0.43,-1.67,-0.63,-0.67,-1.20,-1.20,-0.50,-1.23,-0.93
INTROVERSION,-1.23,-0.60,-0.57,-1.40,-1.10,-1.03,-1.20,-0.77,-1.07,-0.70,-0.40,-0.87,-1.00,-0.50,-0.90,-0.67
ORDERLINESS,-0.83,-1.13,-0.77,-1.00,-0.43,-1.03,-0.80,-0.43,-1.13,-1.10,-0.80,-0.80,-1.27,-0.50,-1.10,-0.60
EMOTIONALITY,-0.90,-1.27,-0.97,-1.20,-0.37,-1.10,-0.53,-0.63,-1.13,-0.90,-0.93,-0.87,-1.20,-0.57,-1.10,-0.40
