,WARMTH,INTELLECT,EMOTIONAL STABILITY,ASSERTIVENESS,GREGARIOUSNESS,DUTIFULNESS,FRIENDLINESS,SENSITIVITY,DISTRUST,IMAGINATION,RESERVE,ANXIETY,COMPLEXITY,INTROVERSION,ORDERLINESS,EMOTIONALITY
WARMTH,-2.90,-1.07,-0.70,-1.13,-0.77,-0.97,-0.80,-0.77,-1.47,-1.23,-0.13,-0.87,-1.20,-0.43,-1.57,-0.60
INTELLECT,-1.17,-3.07,-0.90,-1.27,-0.63,-1.30,-0.80,-1.50,-2.00,-1.17,-0.93,-1.20,-1.47,-0.77,-1.43,-0.93
EMOTIONAL STABILITY,-1.17,-1.47,-2.70,-1.20,-0.50,-1.17,-0.87,-0.70,-1.13,-0.97,-0.67,-0.27,-1.07,-0.63,-1.50,-0.67
ASSERTIVENESS,-1.23,-1.20,-0.77,-3.00,-0.70,-1.03,-1.07,-0.90,-1.27,-0.83,-0.33,-1.07,-1.20,-0.43,-1.37,-0.87
GREGARIOUSNESS,-1.17,-1.20,-0.77,-1.00,-2.30,-0.97,-1.13,-0.70,-1.33,-0.83,0.33,-0.80,-1.20,0.43,-1.23,-0.60
DUTIFULNESS,-0.90,-1.20,-0.77,-1.00,-0.50,-2.97,-0.80,-0.97,-1.40,-1.03,-0.87,-0.87,-1.33,-0.50,-1.43,-0.67
FRIENDLINESS,-1.17,-1.07,-0.77,-1.07,-0.77,-1.10,-2.60,-0.97,-1.13,-0.90,-0.07,-0.73,-1.40,-0.10,-1.30,-0.53
SENSITIVITY,-1.10,-1.40,-0.57,-1.13,-0.77,-0.90,-0.73,-2.50,-1.40,-1.10,-1.27,-1.33,-1.27,-0.70,-1.50,-0.47
DISTRUST,-0.70,-0.93,-0.50,-0.93,-0.57,-0.70,-0.67,-0.63,-2.87,-0.83,-0.67,-1.00,-1.13,-0.43,-1.30,-0.53
IMAGINATION,-1.10,-1.27,-1.03,-1.20,-0.77,-1.10,-1.00,-1.03,-1.33,-2.90,-0.67,-1.07,-1.87,-0.57,-1.50,-0.80
RESERVE,-1.10,-0.93,-0.83,-0.93,-0.97,-0.97,-1.00,-0.90,-1.27,-0.70,-2.20,-0.87,-1.13,-0.50,-1.23,-0.73
ANXIETY,-0.77,-1.00,-0.17,-1.13,-0.70,-0.83,-0.53,-0.97,-1.27,-0.90,-0.67,-2.53,-1.13,-0.50,-1.17,-0.73
COMPLEXITY,-1.03,-1.13,-0.63,-1.20,-0.57,-1.10,-0.80,-0.70,-1.33,-0.97,-0.87,-1.13,-3.20,-0.50,-1.30,-0.87
INTROVERSION,-1.30,-0.73,-0.63,-1.27,-0.90,-1.03,-1.40,-0.83,-1.20,-0.97,-0.60,-1.00,-1.20,-2.50,-1.17,-0.47
ORDERLINESS,-1.03,-1.07,-0.83,-1.00,-0.63,-1.10,-0.87,-0.57,-1.13,-0.70,-0.60,-0.67,-1.20,-0.50,-3.10,-0.53
EMOTIONALITY,-0.83,-1.20,-0.77,-1.07,-0.37,-1.17,-0.73,-0.77,-1.60,-1.17,-0.80,-1.20,-1.40,-0.63,-1.23,-2.27
